N11+Cc3	ꜣbd+3
N11+Cc4	ꜣbd+4
N11+N14+D46+N5	ꜣbd,ꜣbd+sbꜣ+d+rꜥ
N16+N16+N16+N23+N23+N23	tꜣw,tꜣ+tꜣ+tꜣ
N16+N16+N23+N23	tꜣwy,tꜣ+tꜣ
N16+N23+Z1	tꜣ,tꜣ+tꜣ
N16+Z1+N23	tꜣ,tꜣ+tꜣ
N23+Z1	tꜣ
N28+D36+Y1	ḫꜥ,ḫꜥ+ꜥ+Y1
N29+D21	ḳ+r
N29+D58	ḳ+b
N29+G1	ḳ+ꜣ
N29+N35	ḳ+n
N29+X1	ḳ+t
N33+Z2	N33+w
N35+A1	n+ỉ
N35+Aa1	n+ḫ
N35+Aa1+Z7	n+ḫ+w
N35+D21	n+r
N35+D36	n+ꜥ
N35+D58	n+b
N35+F20+O34	n+ns+s
N35+G1	n+ꜣ
N35+G1+N35	n+ꜣ+n
N35+G1+Z3A	n+ꜣ+w
N35+I9	n+f
N35+M3+Aa1+X1	nḫt,n+ḫt+ḫ+t
N35+N29	n+ḳ
N35+N35	n+n
N35+N35+N35	mw
N35+N5	n+rꜥ
N35+O34	n+z
N35+T34+G17	nm,n+nm+m
N35+V30	n+nb
N35+V31A	n+k
N35+W24+Z7	nw,n+nw+w
N35+X1	nt,n+t
N35+X1+V31A	ntk,n+t+k
N35+X1+Z4	nty,n+t+y
N35+X1+Z7	n+t+w
N35+Z2	n+w
N36+N23	mr+w
N37+D21	š+r
N37+D58	š+b
N37+N35+N35+N35	šmw,š+mw
N37+N35+N35+N35+N5	šmw,š+mw+rꜥ
N37A+D58	š+b
N41+O34	ḥms,ḥm+z
N41+X1+B1	ḥmt,ḥm+t+ỉ
N5+D21+D36	rꜥ,rꜥ+r+ꜥ
O50	sp,zp
O1+D21+X1+N5	prt,pr+r+t+rꜥ
O29+D52+X1+Z5	ꜥꜣ,ꜥꜣt,ꜥꜣ+mt+t
O29+O1+O1+G7	pr-ꜥꜣ
O29+Y1	ꜥꜣ+Y1
O29+Y1+N35	ꜥꜣ+Y1+n
O31+D40	ꜥꜣ,ꜥꜣ+nḫt,wn+nḫt
O34+A1	s,z,z+ỉ
O38+X1+Z5	ḳnbt
O4+D21+Z7+N5	hrw,h+r+w+rꜥ
O49+X1+Z1	nỉwt,nỉwt+t
O50+Z4	zp-2,zp+2
Q3+D40	p+nḫt
Q3+N35	pn,p+n
Q3+N37	p+š
Q3+O34	p+z
Q3+X1	p+t
Q3+Z4	p+y
R118	mnw
R22+R12	mnw
R4+X1	ḥtp+t
S29+S29	s+s
S34+U28+S29	ꜥnḫ+wḏꜣ+snb
S38+U10	ḥḳꜣ
T34	nm
T21+D36+Z1	wꜥ,wꜥ+ꜥ
T28+D21	ẖr,ẖr+r
T28+D21+Z4+Y1	ẖry,ẖr+r+y+Y1
U1+Aa11	mꜣꜥ
U10+Z2	ỉt+w
U21+N35	stp+n
U4+D36+X1	mꜣꜥt,mꜣꜥ+ꜥ+t
U7+D21	mr+r
U9(D12)	
U9(D12)+U9(D12)	
U9(D12)+U9(D12)+U9(D12)	
V7	šn
V10+G7+S34+U28+S29	
V12+N5	ꜥrḳ,ꜥrḳ+rꜥ
V12+W3	ꜥrḳ+ḥb,fḫ+ḥb
V12+Z1	ꜥrḳ,fḫ
V2+D54	sṯꜣ+ỉw
V22+D36	mḥ+ꜥ
V22+Y1	mḥ+Y1
V28+N5+V28	nḥḥ,ḥḥ,ḥ+rꜥ+ḥ
V30+A1	nb+ỉ
V30+I9	nb+f
V30+N16+N16+N23+N23	nb-tꜣwy,nb+tꜣ+tꜣ
V30+X1	nb+t
V31A+G1	k+ꜣ
W10+X1+Z5	wsḫt,wsḫ+t
W11+D21	g+r
W20+Z2	ỉrṯt+w
W22+Z2	hnw+w
W24+V31A+A1	ỉnk,nw+k+ỉ
W24+W24+W24+N1	nwn,nw+nw+nw+pt
W24+X1+Z5	nw+t
W24+Z7	nw+w
W25+N35	ỉn+n
W25+N35+N35	ỉn+n+n
